id,set_name,card_name,ungraded,psa_7,psa_8,psa_9,psa_9_5,psa_10,bgs_10,cgc_10,sgc_10,release_date,set_z_score
2294036,Pokemon Aquapolis,Boost Energy [Reverse Holo] #145,11.49,9.0,22.93,25.0,28.0,105.25,137.0,63.0,63.0,2003-01-15,-0.24
842595,Pokemon Aquapolis,Chansey #69,4.93,7.0,8.15,21.15,23.0,85.0,111.0,51.0,51.0,2003-01-15,-0.24
2293960,Pokemon Aquapolis,Chansey [Reverse Holo] #69,38.49,25.0,30.71,94.19,104.0,468.7,609.0,281.0,281.0,2003-01-15,-0.16
842596,Pokemon Aquapolis,Chinchou #70,14.71,10.31,16.67,25.99,29.0,69.94,91.0,23.11,42.0,2003-01-15,-0.24
887925,Pokemon Aquapolis,Chinchou #71,5.34,7.84,26.0,29.0,32.0,61.84,80.0,24.5,37.0,2003-01-15,-0.24
2293961,Pokemon Aquapolis,Chinchou [Reverse Holo] #70,29.97,30.0,31.96,77.7,85.0,675.0,878.0,405.0,405.0,2003-01-15,-0.12
2293962,Pokemon Aquapolis,Chinchou [Reverse Holo] #71,25.9,15.5,37.97,79.81,88.0,180.47,235.0,108.0,108.0,2003-01-15,-0.22
842662,Pokemon Aquapolis,Crystal Energy #146,4.99,12.18,33.36,37.0,41.0,94.97,123.0,36.61,57.0,2003-01-15,-0.24
2294037,Pokemon Aquapolis,Crystal Energy [Reverse Holo] #146,13.5,17.5,27.88,43.0,47.0,241.33,314.0,31.0,145.0,2003-01-15,-0.21
842597,Pokemon Aquapolis,Cubone #72,17.5,38.69,82.0,91.79,101.0,555.0,722.0,32.33,333.0,2003-01-15,-0.15
2293963,Pokemon Aquapolis,Cubone [Reverse Holo] #72,189.5,96.0,254.04,703.77,774.0,3866.93,5027.0,290.0,2320.0,2003-01-15,0.5
842635,Pokemon Aquapolis,Darkness Cube 01 #119,1.87,9.8,12.5,15.99,18.0,40.49,53.0,5.5,24.0,2003-01-15,-0.25
2294010,Pokemon Aquapolis,Darkness Cube 01 [Reverse Holo] #119,5.25,5.0,6.44,22.39,25.0,225.0,293.0,135.0,135.0,2003-01-15,-0.21
842658,Pokemon Aquapolis,Darkness Energy #142,9.49,11.2,14.99,16.0,18.0,43.15,56.0,26.0,26.0,2003-01-15,-0.25
2294033,Pokemon Aquapolis,Darkness Energy [Reverse Holo] #142,11.83,8.5,17.77,32.75,36.0,87.9,114.0,53.0,53.0,2003-01-15,-0.24
842573,Pokemon Aquapolis,Dodrio #46,9.4,10.0,13.6,21.73,24.0,61.0,79.0,12.5,37.0,2003-01-15,-0.24
2293937,Pokemon Aquapolis,Dodrio [Reverse Holo] #46,26.0,10.0,49.0,54.0,59.0,991.26,1289.0,595.0,595.0,2003-01-15,-0.06
842598,Pokemon Aquapolis,Doduo #73,4.72,8.46,11.5,18.18,20.0,53.5,70.0,16.16,32.0,2003-01-15,-0.25
2293964,Pokemon Aquapolis,Doduo [Reverse Holo] #73,18.49,16.0,49.99,75.2,83.0,395.0,514.0,90.0,237.0,2003-01-15,-0.18
842536,Pokemon Aquapolis,Donphan #7,23.5,10.0,12.2,26.69,29.0,75.0,98.0,34.95,45.0,2003-01-15,-0.24
2293898,Pokemon Aquapolis,Donphan [Reverse Holo] #7,28.25,28.0,34.86,76.0,84.0,124.55,162.0,75.0,75.0,2003-01-15,-0.23
842599,Pokemon Aquapolis,Drowzee #74a,5.18,15.3,35.0,66.08,73.0,229.99,299.0,26.07,138.0,2003-01-15,-0.21
2293965,Pokemon Aquapolis,Drowzee [Reverse Holo] #74,25.2,10.55,22.27,68.24,68.0,69.0,90.0,41.0,41.0,2003-01-15,-0.24
842600,Pokemon Aquapolis,Eevee #75,25.0,17.17,29.62,33.0,36.0,400.0,520.0,63.49,60.0,2003-01-15,-0.18
2293966,Pokemon Aquapolis,Eevee [Reverse Holo] #75,159.99,125.0,230.0,1454.54,1600.0,1899.0,2469.0,338.95,1139.0,2003-01-15,0.12
842537,Pokemon Aquapolis,Electrode #8,12.0,11.0,13.51,24.79,27.0,82.0,107.0,59.0,49.0,2003-01-15,-0.24
887966,Pokemon Aquapolis,Electrode #H7,77.79,114.38,160.5,194.96,214.0,2250.0,2925.0,250.0,1350.0,2003-01-15,0.18
2293899,Pokemon Aquapolis,Electrode [Reverse Holo] #8,25.63,18.5,40.0,60.03,66.0,842.52,1095.0,140.0,506.0,2003-01-15,-0.09
842538,Pokemon Aquapolis,Elekid #9,19.99,9.0,10.75,36.0,40.0,71.0,92.0,51.5,43.0,2003-01-15,-0.24
2293900,Pokemon Aquapolis,Elekid [Reverse Holo] #9,31.23,70.0,113.35,125.0,138.0,1201.0,1561.0,721.0,721.0,2003-01-15,-0.02
842636,Pokemon Aquapolis,Energy Switch #120,27.07,11.0,14.0,15.0,17.0,201.25,262.0,16.71,121.0,2003-01-15,-0.22
2294011,Pokemon Aquapolis,Energy Switch [Reverse Holo] #120,51.55,48.0,59.99,64.25,71.0,1800.37,2340.0,1080.0,1080.0,2003-01-15,0.1
842539,Pokemon Aquapolis,Entei #10,34.67,23.31,44.75,72.19,87.98,115.1,150.0,43.0,69.0,2003-01-15,-0.23
887967,Pokemon Aquapolis,Entei #H8,163.5,336.5,500.0,874.13,962.0,5406.6,7029.0,1600.0,3244.0,2003-01-15,0.8
2293901,Pokemon Aquapolis,Entei [Reverse Holo] #10,54.56,60.34,107.28,209.73,231.0,2351.82,3057.0,344.75,1411.0,2003-01-15,0.2
842540,Pokemon Aquapolis,Espeon #11,84.2,57.77,120.52,124.99,137.0,613.09,797.0,150.0,368.0,2003-01-15,-0.14
887968,Pokemon Aquapolis,Espeon #H9,304.28,653.72,1051.8,2135.0,2349.0,11548.3,15013.0,985.0,6929.0,2003-01-15,2.0
2293902,Pokemon Aquapolis,Espeon [Reverse Holo] #11,143.43,149.25,400.0,571.0,572.28,3600.0,4680.0,2160.0,2160.0,2003-01-15,0.45
842601,Pokemon Aquapolis,Exeggcute #76,2.5,12.0,15.57,23.54,26.0,69.97,91.0,20.5,42.0,2003-01-15,-0.24
887926,Pokemon Aquapolis,Exeggcute #77,7.29,2.44,11.86,15.21,17.0,72.37,94.0,18.5,43.0,2003-01-15,-0.24
2293967,Pokemon Aquapolis,Exeggcute [Reverse Holo] #76,22.49,32.0,44.98,73.85,81.0,175.88,229.0,106.0,106.0,2003-01-15,-0.22
2293968,Pokemon Aquapolis,Exeggcute [Reverse Holo] #77,30.0,15.27,32.85,96.66,106.0,252.5,328.0,152.0,152.0,2003-01-15,-0.21
842541,Pokemon Aquapolis,Exeggutor #12,6.47,13.6,24.76,30.62,34.0,56.04,73.0,38.89,34.0,2003-01-15,-0.24
887922,Pokemon Aquapolis,Exeggutor #13,21.17,18.0,22.75,25.0,28.0,144.98,188.0,33.5,87.0,2003-01-15,-0.23
887938,Pokemon Aquapolis,Exeggutor #H10,115.12,181.88,325.21,424.17,659.0,5739.13,7461.0,596.0,3443.0,2003-01-15,0.87
2293903,Pokemon Aquapolis,Exeggutor [Reverse Holo] #12,17.88,45.5,81.0,129.99,143.0,156.0,203.0,94.0,94.0,2003-01-15,-0.23
2293904,Pokemon Aquapolis,Exeggutor [Reverse Holo] #13,38.38,36.44,59.67,131.5,145.0,415.68,540.0,249.0,249.0,2003-01-15,-0.17
842637,Pokemon Aquapolis,Fighting Cube 01 #121,2.05,9.5,30.0,33.0,36.0,69.69,91.0,12.0,42.0,2003-01-15,-0.24
2294012,Pokemon Aquapolis,Fighting Cube 01 [Reverse Holo] #121,5.0,9.16,16.0,29.99,33.0,191.65,249.0,115.0,115.0,2003-01-15,-0.22
842638,Pokemon Aquapolis,Fire Cube 01 #122,2.1,9.76,12.5,34.32,38.0,110.46,144.0,7.21,66.0,2003-01-15,-0.23
2294013,Pokemon Aquapolis,Fire Cube 01 [Reverse Holo] #122,4.83,6.06,8.02,29.01,32.0,179.99,234.0,21.5,108.0,2003-01-15,-0.22
842574,Pokemon Aquapolis,Flaaffy #47,13.47,16.85,32.72,36.0,40.0,87.74,114.0,35.0,53.0,2003-01-15,-0.24
2293938,Pokemon Aquapolis,Flaaffy [Reverse Holo] #47,21.93,15.17,89.15,98.0,108.0,799.0,1039.0,479.0,479.0,2003-01-15,-0.1
842639,Pokemon Aquapolis,Forest Guardian #123,1.86,11.69,20.5,25.25,28.0,46.54,61.0,17.47,28.0,2003-01-15,-0.25
2294014,Pokemon Aquapolis,Forest Guardian [Reverse Holo] #123,26.28,23.2,129.5,142.0,156.0,312.23,406.0,187.0,187.0,2003-01-15,-0.19
842575,Pokemon Aquapolis,Furret #48,29.06,16.34,36.5,40.0,44.0,275.0,358.0,34.66,165.0,2003-01-15,-0.2
2293939,Pokemon Aquapolis,Furret [Reverse Holo] #48,85.0,26.0,97.5,99.99,110.0,150.0,195.0,90.0,90.0,2003-01-15,-0.23
842576,Pokemon Aquapolis,Gloom #49,33.99,6.0,7.0,12.51,14.0,99.99,130.0,48.43,60.0,2003-01-15,-0.24
2293940,Pokemon Aquapolis,Gloom [Reverse Holo] #49,44.23,21.88,67.0,85.0,149.99,407.11,529.0,28.4,244.0,2003-01-15,-0.18
842602,Pokemon Aquapolis,Goldeen #78,3.87,21.22,25.0,28.0,31.0,46.38,60.0,13.5,28.0,2003-01-15,-0.25
2293969,Pokemon Aquapolis,Goldeen [Reverse Holo] #78,22.6,24.0,30.0,75.81,83.0,813.08,1057.0,488.0,488.0,2003-01-15,-0.1
842577,Pokemon Aquapolis,Golduck #50a,15.35,17.5,18.59,24.99,27.0,99.95,130.0,33.0,60.0,2003-01-15,-0.24
2293941,Pokemon Aquapolis,Golduck [Reverse Holo] #50b,26.0,22.8,48.45,116.1,128.0,867.04,1127.0,520.0,520.0,2003-01-15,-0.09
842640,Pokemon Aquapolis,Grass Cube 01 #124,2.57,10.0,10.31,18.0,20.0,42.5,55.0,8.5,26.0,2003-01-15,-0.25
2294015,Pokemon Aquapolis,Grass Cube 01 [Reverse Holo] #124,6.5,25.0,27.49,34.69,38.0,270.52,352.0,162.0,162.0,2003-01-15,-0.2
842603,Pokemon Aquapolis,Grimer #79,19.99,15.0,18.45,28.5,38.99,142.75,186.0,65.0,86.0,2003-01-15,-0.23
2293970,Pokemon Aquapolis,Grimer [Reverse Holo] #79,75.0,40.0,238.64,492.88,542.0,591.0,768.0,355.0,355.0,2003-01-15,-0.14
842578,Pokemon Aquapolis,Growlithe #51,32.95,17.07,44.45,49.0,54.0,208.57,271.0,25.06,125.0,2003-01-15,-0.22
887927,Pokemon Aquapolis,Growlithe #80,19.0,35.0,36.53,40.0,44.0,249.99,325.0,63.0,150.0,2003-01-15,-0.21
2293942,Pokemon Aquapolis,Growlithe [Reverse Holo] #51,87.42,24.0,30.5,332.75,366.0,8750.0,11375.0,5250.0,5250.0,2003-01-15,1.46
2293971,Pokemon Aquapolis,Growlithe [Reverse Holo] #80,45.93,80.0,100.0,146.25,161.0,368.51,479.0,221.0,221.0,2003-01-15,-0.18
842641,Pokemon Aquapolis,Healing Berry #125,2.35,3.06,3.0,16.47,18.0,40.86,53.0,8.0,25.0,2003-01-15,-0.25
2294016,Pokemon Aquapolis,Healing Berry [Reverse Holo] #125,7.26,4.25,12.5,17.05,19.0,1000.0,1300.0,600.0,600.0,2003-01-15,-0.06
842604,Pokemon Aquapolis,Hitmonchan #81,20.36,7.5,23.58,27.39,30.0,152.79,199.0,50.0,92.0,2003-01-15,-0.23
2293972,Pokemon Aquapolis,Hitmonchan [Reverse Holo] #81,34.29,29.6,102.5,113.0,124.0,1156.31,1503.0,300.0,694.0,2003-01-15,-0.03
842605,Pokemon Aquapolis,Hitmontop #82,7.31,4.63,21.96,22.62,25.0,95.0,124.0,44.72,57.0,2003-01-15,-0.24
2293973,Pokemon Aquapolis,Hitmontop [Reverse Holo] #82,27.08,20.42,50.0,55.0,61.0,495.04,644.0,75.0,297.0,2003-01-15,-0.16
842606,Pokemon Aquapolis,Hoppip #83,9.69,4.89,5.88,6.63,6.74,137.0,178.0,14.75,82.0,2003-01-15,-0.23
2293974,Pokemon Aquapolis,Hoppip [Reverse Holo] #83,19.0,14.0,17.36,66.81,73.0,107.15,139.0,64.0,64.0,2003-01-15,-0.23
842607,Pokemon Aquapolis,Horsea #84,5.96,14.5,30.0,33.0,36.0,85.0,111.0,30.0,51.0,2003-01-15,-0.24
887928,Pokemon Aquapolis,Horsea #85,6.5,12.5,14.55,39.0,43.0,162.43,211.0,35.0,97.0,2003-01-15,-0.22
2293975,Pokemon Aquapolis,Horsea [Reverse Holo] #84,39.04,23.5,92.87,110.0,121.0,439.9,572.0,264.0,264.0,2003-01-15,-0.17
2293976,Pokemon Aquapolis,Horsea [Reverse Holo] #85,30.29,29.19,40.0,139.89,154.0,200.0,260.0,75.0,120.0,2003-01-15,-0.22
842542,Pokemon Aquapolis,Houndoom #14,58.0,10.57,70.34,79.99,80.0,600.0,780.0,94.29,360.0,2003-01-15,-0.14
842543,Pokemon Aquapolis,Houndoom #15,62.46,40.0,43.0,100.0,110.0,482.76,628.0,199.0,290.0,2003-01-15,-0.16
887939,Pokemon Aquapolis,Houndoom #H11,400.0,948.47,1427.86,3122.02,3434.0,17010.27,22113.0,2890.5,10206.0,2003-01-15,3.07
2293905,Pokemon Aquapolis,Houndoom [Reverse Holo] #14,83.5,82.5,123.92,336.24,370.0,1434.58,1865.0,152.51,861.0,2003-01-15,0.02
2293906,Pokemon Aquapolis,Houndoom [Reverse Holo] #15,120.0,96.1,252.61,409.91,451.0,1065.44,1385.0,280.0,639.0,2003-01-15,-0.05
842608,Pokemon Aquapolis,Houndour #86,4.65,10.0,24.64,27.0,30.0,111.39,145.0,48.5,67.0,2003-01-15,-0.23
887929,Pokemon Aquapolis,Houndour #87,6.51,14.5,21.88,28.0,31.0,101.39,132.0,35.25,61.0,2003-01-15,-0.24
2293977,Pokemon Aquapolis,Houndour [Reverse Holo] #86,27.5,31.51,57.55,85.5,157.5,218.45,284.0,225.0,131.0,2003-01-15,-0.21
2293978,Pokemon Aquapolis,Houndour [Reverse Holo] #87,33.01,46.0,58.0,86.34,95.0,755.46,982.0,43.0,453.0,2003-01-15,-0.11
842544,Pokemon Aquapolis,Hypno #16,23.65,12.2,24.23,25.08,28.0,212.5,276.0,79.99,128.0,2003-01-15,-0.21
887940,Pokemon Aquapolis,Hypno #H12,100.0,201.05,314.5,591.75,750.0,3358.48,4366.0,450.0,2015.0,2003-01-15,0.4
2293907,Pokemon Aquapolis,Hypno [Reverse Holo] #16,36.42,35.0,49.99,113.5,125.0,137.13,178.0,190.0,82.0,2003-01-15,-0.23
842642,Pokemon Aquapolis,Juggler #126,1.72,4.88,8.82,18.0,20.0,87.16,113.0,52.0,52.0,2003-01-15,-0.24
2294017,Pokemon Aquapolis,Juggler [Reverse Holo] #126,14.73,12.0,21.19,30.65,34.0,68.97,90.0,100.0,41.0,2003-01-15,-0.24
842545,Pokemon Aquapolis,Jumpluff #17,25.0,8.0,19.74,31.95,35.0,80.87,105.0,31.5,49.0,2003-01-15,-0.24
887941,Pokemon Aquapolis,Jumpluff #H13,51.79,46.15,113.02,208.87,301.04,1590.52,2068.0,106.25,954.0,2003-01-15,0.06
2293908,Pokemon Aquapolis,Jumpluff [Reverse Holo] #17,28.0,28.25,47.0,77.5,85.0,424.86,552.0,44.5,255.0,2003-01-15,-0.17
842546,Pokemon Aquapolis,Jynx #18,23.77,12.0,14.5,32.36,36.0,138.4,180.0,158.75,83.0,2003-01-15,-0.23
2293909,Pokemon Aquapolis,Jynx [Reverse Holo] #18,34.8,11.5,47.61,70.0,77.0,113.25,147.0,52.11,68.0,2003-01-15,-0.23
842609,Pokemon Aquapolis,Kangaskhan #88,9.74,9.83,17.29,50.85,56.0,89.95,117.0,45.0,54.0,2003-01-15,-0.24
2293979,Pokemon Aquapolis,Kangaskhan [Reverse Holo] #88,42.5,21.0,26.38,89.27,98.0,1518.41,1974.0,911.0,911.0,2003-01-15,0.04
887935,Pokemon Aquapolis,Kingdra #148,377.5,595.0,744.0,1334.72,2154.0,9700.0,12610.0,2079.57,5820.0,2003-01-15,1.64
842547,Pokemon Aquapolis,Kingdra #19,11.76,19.09,50.0,55.0,61.0,149.69,195.0,36.43,90.0,2003-01-15,-0.23
887942,Pokemon Aquapolis,Kingdra #H14,106.67,142.5,293.46,536.71,590.0,6100.0,7930.0,679.89,3660.0,2003-01-15,0.94
2294039,Pokemon Aquapolis,Kingdra [Reverse Holo] #148,10.69,17.4,39.23,4.61,5.58,108.42,139.67,48.75,64.47,2003-01-15,-0.23
2293910,Pokemon Aquapolis,Kingdra [Reverse Holo] #19,47.74,57.15,69.82,113.27,125.0,885.24,1151.0,531.0,531.0,2003-01-15,-0.08
842548,Pokemon Aquapolis,Lanturn #20,11.7,8.27,10.5,30.67,34.0,41.16,54.0,41.0,25.0,2003-01-15,-0.25
887923,Pokemon Aquapolis,Lanturn #21,32.71,5.17,96.0,106.0,117.0,175.64,228.0,105.0,105.0,2003-01-15,-0.22
887943,Pokemon Aquapolis,Lanturn #H15,62.19,102.5,194.36,307.48,338.0,1899.51,2469.0,300.18,1140.0,2003-01-15,0.12
2293911,Pokemon Aquapolis,Lanturn [Reverse Holo] #20,30.0,18.52,24.99,47.35,52.0,425.0,553.0,255.0,255.0,2003-01-15,-0.17
2293912,Pokemon Aquapolis,Lanturn [Reverse Holo] #21,39.0,31.0,35.65,63.0,69.0,1286.48,1672.0,772.0,772.0,2003-01-15,-0.0
842610,Pokemon Aquapolis,Larvitar #89,6.0,7.05,30.0,50.0,55.0,76.07,99.0,19.0,46.0,2003-01-15,-0.24
2293980,Pokemon Aquapolis,Larvitar [Reverse Holo] #89,25.24,33.0,41.5,63.51,70.0,140.0,182.0,37.0,84.0,2003-01-15,-0.23
842611,Pokemon Aquapolis,Lickitung #90,18.08,12.2,24.5,27.77,31.0,382.5,497.0,31.09,230.0,2003-01-15,-0.18
2293981,Pokemon Aquapolis,Lickitung [Reverse Holo] #90,82.62,35.0,44.95,129.99,143.0,2572.25,3344.0,1543.0,1543.0,2003-01-15,0.25
842643,Pokemon Aquapolis,Lightning Cube 01 #127,2.02,3.0,4.25,17.18,19.0,44.99,58.0,15.0,27.0,2003-01-15,-0.25
2294018,Pokemon Aquapolis,Lightning Cube 01 [Reverse Holo] #127,4.28,7.62,10.5,16.5,18.0,302.5,393.0,30.6,182.0,2003-01-15,-0.2
842664,Pokemon Aquapolis,Lugia #149,3354.98,6710.0,9000.0,10600.0,12730.31,79584.25,103460.0,10327.5,47751.0,2003-01-15,15.32
842579,Pokemon Aquapolis,Magnemite #52,10.0,10.26,15.5,25.0,28.0,224.98,292.0,35.25,135.0,2003-01-15,-0.21
887930,Pokemon Aquapolis,Magnemite #91,4.03,9.92,18.52,32.5,36.0,82.33,107.0,28.45,49.0,2003-01-15,-0.24
2293943,Pokemon Aquapolis,Magnemite [Reverse Holo] #52,19.99,21.49,30.0,32.61,36.0,230.22,299.0,138.0,138.0,2003-01-15,-0.21
2293982,Pokemon Aquapolis,Magnemite [Reverse Holo] #91,38.5,11.5,35.0,63.53,64.89,372.0,484.0,38.0,223.0,2003-01-15,-0.18
842549,Pokemon Aquapolis,Magneton #22,11.78,17.5,26.0,32.5,32.82,115.0,150.0,34.52,69.0,2003-01-15,-0.23
887944,Pokemon Aquapolis,Magneton #H16,58.62,81.04,108.73,300.0,362.0,730.73,950.0,179.25,438.0,2003-01-15,-0.11
2293913,Pokemon Aquapolis,Magneton [Reverse Holo] #22,20.0,31.84,62.0,79.99,87.0,217.5,283.0,51.0,131.0,2003-01-15,-0.21
842612,Pokemon Aquapolis,Mankey #92,14.5,12.2,16.5,33.69,37.0,70.13,91.0,32.0,42.0,2003-01-15,-0.24
2293983,Pokemon Aquapolis,Mankey [Reverse Holo] #92,31.85,20.61,50.0,90.66,100.0,1077.46,1401.0,646.0,646.0,2003-01-15,-0.04
842613,Pokemon Aquapolis,Mareep #93,8.13,10.14,17.02,30.16,33.0,150.0,195.0,31.62,90.0,2003-01-15,-0.23
2293984,Pokemon Aquapolis,Mareep [Reverse Holo] #93,22.02,17.0,21.5,95.16,105.0,375.0,488.0,225.0,225.0,2003-01-15,-0.18
842580,Pokemon Aquapolis,Marill #53,18.99,13.72,34.99,38.0,42.0,102.08,133.0,16.5,61.0,2003-01-15,-0.24
2293944,Pokemon Aquapolis,Marill [Reverse Holo] #53,41.0,17.87,44.0,120.75,133.0,1285.62,1671.0,771.0,771.0,2003-01-15,-0.0
842581,Pokemon Aquapolis,Marowak #54,10.37,8.0,10.5,30.0,33.0,147.5,192.0,25.28,89.0,2003-01-15,-0.23
2293945,Pokemon Aquapolis,Marowak [Reverse Holo] #54,40.92,11.52,55.0,176.0,194.0,1340.59,1743.0,804.0,804.0,2003-01-15,0.01
842644,Pokemon Aquapolis,Memory Berry #128,2.59,6.98,8.47,18.5,20.0,52.0,68.0,17.98,31.0,2003-01-15,-0.25
2294019,Pokemon Aquapolis,Memory Berry [Reverse Holo] #128,11.43,6.0,6.89,10.0,11.0,32.0,42.0,35.0,19.0,2003-01-15,-0.25
842645,Pokemon Aquapolis,Metal Cube 01 #129,2.0,2.48,3.25,4.5,5.0,116.24,151.0,13.0,70.0,2003-01-15,-0.23
2294020,Pokemon Aquapolis,Metal Cube 01 [Reverse Holo] #129,4.47,6.05,6.5,15.52,17.0,190.07,247.0,114.0,114.0,2003-01-15,-0.22
842659,Pokemon Aquapolis,Metal Energy #143,7.73,7.87,15.75,27.02,30.0,32.47,42.0,13.5,19.0,2003-01-15,-0.25
2294034,Pokemon Aquapolis,Metal Energy [Reverse Holo] #143,14.2,8.5,14.02,55.0,61.0,172.52,224.0,104.0,104.0,2003-01-15,-0.22
842614,Pokemon Aquapolis,Miltank #94,4.72,15.0,18.14,30.0,33.0,63.0,82.0,38.0,38.0,2003-01-15,-0.24
2293985,Pokemon Aquapolis,Miltank [Reverse Holo] #94,47.68,22.75,45.0,140.0,154.0,1441.86,1874.0,135.0,865.0,2003-01-15,0.03
842615,Pokemon Aquapolis,Mr. Mime #95a,5.99,20.74,84.99,93.0,102.0,212.0,276.0,31.25,127.0,2003-01-15,-0.21
2293986,Pokemon Aquapolis,Mr. Mime [Reverse Holo] #95,9.81,9.37,24.99,27.0,30.0,127.69,165.93,35.51,75.97,2003-01-15,-0.23
842550,Pokemon Aquapolis,Muk #23,13.66,12.0,15.0,50.0,55.0,159.99,208.0,77.0,96.0,2003-01-15,-0.22
887945,Pokemon Aquapolis,Muk #H17,67.5,118.25,243.58,453.32,499.0,2016.89,2622.0,516.06,1210.0,2003-01-15,0.14
2293914,Pokemon Aquapolis,Muk [Reverse Holo] #23,45.0,29.0,40.34,72.46,109.99,148.66,193.0,199.0,89.0,2003-01-15,-0.23
887936,Pokemon Aquapolis,Nidoking #150,520.41,1499.0,2650.0,3499.6,4000.1,16174.24,21027.0,2040.0,9705.0,2003-01-15,2.91
842551,Pokemon Aquapolis,Nidoking #24,10.77,17.99,31.5,49.99,55.0,80.21,104.0,51.48,48.0,2003-01-15,-0.24
887946,Pokemon Aquapolis,Nidoking #H18,144.14,170.0,302.43,421.52,464.0,1403.75,1825.0,279.51,842.0,2003-01-15,0.02
2294041,Pokemon Aquapolis,Nidoking [Reverse Holo] #150,10.69,17.4,39.23,4.61,5.58,108.42,139.67,48.75,64.47,2003-01-15,-0.23
2293915,Pokemon Aquapolis,Nidoking [Reverse Holo] #24,32.5,37.5,99.99,175.0,193.0,833.8,1084.0,500.0,500.0,2003-01-15,-0.09
